name,rarity,power,toughness,types,type,supertypes,subtypes,setCode,loyalty,life,text,cardParts,colorIdentity,edhrecRank,edhrecSaltiness,faceConvertedManaCost,faceManaValue,faceName,keywords,manaCost,manaValue
Scrapwork Cohort,common,3,1,"Artifact, Creature",Artifact Creature — Soldier,,Soldier,BRO,,,"When this creature enters, create a 1/1 colorless Soldier artifact creature token.\nUnearth {2}{W} ({2}{W}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,W,19311.0,,,,,Unearth,{4},4.0
Steel Seraph,rare,5,4,"Artifact, Creature",Artifact Creature — Angel,,Angel,BRO,,,"Prototype {1}{W}{W} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nFlying\nAt the beginning of combat on your turn, target creature you control gains your choice of flying, vigilance, or lifelink until end of turn.",,W,4622.0,0.2,,,,"Flying, Prototype, Vigilance",{6},6.0
Tocasia's Onulet,common,4,4,"Artifact, Creature",Artifact Creature — Construct,,Construct,BRO,,,"When this creature leaves the battlefield, you gain 2 life.\nUnearth {3}{W} ({3}{W}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,W,24837.0,,,,,Unearth,{5},5.0
Urza's Sylex,mythic,,,Artifact,Legendary Artifact,Legendary,,BRO,,,"{2}{W}{W}, {T}, Exile Urza's Sylex: Each player chooses six lands they control. Destroy all other permanents. Activate only as a sorcery.\nWhen Urza's Sylex is put into exile from the battlefield, you may pay {2}. If you do, search your library for a planeswalker card, reveal it, put it into your hand, then shuffle.",,W,12435.0,0.75,,,,,{3},3.0
Veteran's Powerblade,common,,,Artifact,Artifact — Equipment,,Equipment,BRO,,,Equipped creature gets +2/+0.\nEquip Soldier {W}\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),,W,21217.0,,,,,Equip,{3},3.0
Yotian Frontliner,uncommon,1,1,"Artifact, Creature",Artifact Creature — Soldier,,Soldier,BRO,,,"Whenever this creature attacks, another target creature you control gets +1/+1 until end of turn.\nUnearth {W} ({W}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,W,17737.0,,,,,Unearth,{1},1.0
Air Marshal,common,2,1,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,{3}: Target Soldier gains flying until end of turn.,,U,25350.0,0.3,,,,,{1}{U},2.0
Curate,common,,,Instant,Instant,,,BRO,,,"Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)\nDraw a card.",,U,4061.0,0.13,,,,Surveil,{1}{U},2.0
Defabricate,uncommon,,,Instant,Instant,,,BRO,,,"Choose one —\n• Counter target artifact or enchantment spell. If a spell is countered this way, exile it instead of putting it into its owner's graveyard.\n• Counter target activated or triggered ability.",,U,5034.0,0.31,,,,,{1}{U},2.0
Desynchronize,common,,,Instant,Instant,,,BRO,,,Target nonland permanent's owner puts it on their choice of the top or bottom of their library. Scry 2.,,U,21515.0,0.25,,,,Scry,{4}{U},5.0
"Drafna, Founder of Lat-Nam",rare,2,1,Creature,Legendary Creature — Human Artificer Advisor,Legendary,"Human, Artificer, Advisor",BRO,,,"{1}{U}: Return target artifact you control to its owner's hand.\n{3}, {T}: Copy target artifact spell you control. (The copy becomes a token.)",,U,5364.0,0.21,,,,,{1}{U},2.0
Fallaji Archaeologist,common,0,3,Creature,Creature — Human Scout,,"Human, Scout",BRO,,,"When this creature enters, mill three cards. You may put a noncreature, nonland card from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on this creature. (To mill a card, put the top card of your library into your graveyard.)",,U,15233.0,0.1,,,,Mill,{1}{U},2.0
Flow of Knowledge,uncommon,,,Instant,Instant,,,BRO,,,"Draw a card for each Island you control, then discard two cards.",,U,3241.0,0.12,,,,,{4}{U},5.0
Forging the Anchor,uncommon,,,Sorcery,Sorcery,,,BRO,,,Look at the top five cards of your library. You may reveal any number of artifact cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in a random order.,,U,11889.0,,,,,,{2}{U},3.0
"Hurkyl, Master Wizard",rare,2,4,Creature,Legendary Creature — Human Wizard Advisor,Legendary,"Human, Wizard, Advisor",BRO,,,"At the beginning of your end step, if you've cast a noncreature spell this turn, reveal the top five cards of your library. For each card type among noncreature spells you've cast this turn, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order.",,U,13109.0,,,,,,{1}{U}{U},3.0
Hurkyl's Final Meditation,rare,,,Instant,Instant,,,BRO,,,"During turns other than yours, this spell costs {3} more to cast.\nReturn all nonland permanents to their owners' hands. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",,U,15234.0,0.38,,,,,{4}{U}{U}{U},7.0
Involuntary Cooldown,uncommon,,,Sorcery,Sorcery,,,BRO,,,"Tap up to two target artifacts and/or creatures. Put two stun counters on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)",,U,17060.0,0.11,,,,,{3}{U},4.0
Keeper of the Cadence,uncommon,2,5,Creature,Creature — Human Wizard,,"Human, Wizard",BRO,,,"{3}: Put target artifact, instant, or sorcery card from a graveyard on the bottom of its owner's library.",,U,23393.0,,,,,,{4}{U},5.0
Koilos Roc,common,3,3,Creature,Creature — Bird,,Bird,BRO,,,"Flash\nFlying\nWhen this creature enters, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",,U,22493.0,,,,,"Flash, Flying",{4}{U},5.0
Lat-Nam Adept,common,3,3,Creature,Creature — Human Wizard,,"Human, Wizard",BRO,,,"Whenever you draw your second card each turn, put a +1/+1 counter on this creature.",,U,18213.0,0.25,,,,,{3}{U},4.0
Machine Over Matter,common,,,Instant,Instant,,,BRO,,,This spell costs {1} less to cast if you control an artifact creature.\nReturn target nonland permanent to its owner's hand.,,U,12264.0,,,,,,{1}{U},2.0
Mightstone's Animation,common,,,Enchantment,Enchantment — Aura,,Aura,BRO,,,"Enchant artifact\nWhen this Aura enters, draw a card.\nEnchanted artifact is a creature with base power and toughness 4/4 in addition to its other types.",,U,18500.0,0.14,,,,Enchant,{3}{U},4.0
One with the Multiverse,mythic,,,Enchantment,Enchantment,,,BRO,,,"You may look at the top card of your library any time.\nYou may play lands and cast spells from the top of your library.\nOnce during each of your turns, you may cast a spell from your hand or the top of your library without paying its mana cost.",,U,1820.0,0.8,,,,,{6}{U}{U},8.0
Retrieval Agent,common,2,5,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,{2}: This creature gets +1/-1 until end of turn.,,U,27817.0,,,,,,{3}{U},4.0
Scatter Ray,common,,,Instant,Instant,,,BRO,,,Counter target artifact or creature spell unless its controller pays {4}.,,U,13191.0,0.11,,,,,{1}{U},2.0
Skystrike Officer,rare,2,3,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,"Flying\nWhenever this creature attacks, create a 1/1 colorless Soldier artifact creature token.\nTap three untapped Soldiers you control: Draw a card.",,U,10687.0,0.17,,,,Flying,{2}{U},3.0
Splitting the Powerstone,uncommon,,,Sorcery,Sorcery,,,BRO,,,"As an additional cost to cast this spell, sacrifice an artifact.\nCreate two tapped Powerstone tokens. If the sacrificed artifact was legendary, draw a card. (The tokens are artifacts with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",,U,18607.0,0.08,,,,,{2}{U},3.0
Stern Lesson,common,,,Instant,Instant,,,BRO,,,"Draw two cards, then discard a card. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",,U,9425.0,0.11,,,,,{2}{U},3.0
Take Flight,uncommon,,,Enchantment,Enchantment — Aura,,Aura,BRO,,,"Enchant creature\nEnchanted creature gets +1/+0 and has flying and ""Whenever this creature attacks, draw a card.""",,U,16270.0,,,,,Enchant,{3}{U},4.0
"Teferi, Temporal Pilgrim",mythic,,,Planeswalker,Legendary Planeswalker — Teferi,Legendary,Teferi,BRO,4,,"Whenever you draw a card, put a loyalty counter on Teferi.\n[0]: Draw a card.\n[−2]: Create a 2/2 blue Spirit creature token with vigilance and ""Whenever you draw a card, put a +1/+1 counter on this token.""\n[−12]: Target opponent chooses a permanent they control and returns it to its owner's hand. Then they shuffle each nonland permanent they control into its owner's library.",,U,2360.0,0.85,,,,,{3}{U}{U},5.0
Third Path Savant,common,2,3,Creature,Creature — Human Wizard,,"Human, Wizard",BRO,,,{7}: Draw two cards.,,U,21798.0,0.12,,,,,{2}{U},3.0
Thopter Mechanic,uncommon,2,1,Creature,Creature — Human Artificer,,"Human, Artificer",BRO,,,"Whenever you draw your second card each turn, put a +1/+1 counter on this creature.\nWhen this creature dies, create a 1/1 colorless Thopter artifact creature token with flying.",,U,14658.0,,,,,,{1}{U},2.0
"Urza, Powerstone Prodigy",uncommon,1,3,Creature,Legendary Creature — Human Artificer,Legendary,"Human, Artificer",BRO,,,"Vigilance\n{1}, {T}: Draw a card, then discard a card.\nWhenever you discard one or more artifact cards, create a tapped Powerstone token. This ability triggers only once each turn. (The token is an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",,U,10267.0,0.12,,,,Vigilance,{2}{U},3.0
Urza's Command,rare,,,Instant,Instant,,,BRO,,,"Choose two —\n• Creatures you don't control get -2/-0 until end of turn.\n• Create a tapped Powerstone token.\n• Create a tapped 0/0 colorless Construct artifact creature token with ""This token gets +1/+1 for each artifact you control.""\n• Scry 1, then draw a card.",,U,7622.0,0.27,,,,Scry,{2}{U}{U},4.0
Urza's Rebuff,common,,,Instant,Instant,,,BRO,,,Choose one —\n• Counter target spell.\n• Tap up to two target creatures.,,U,7148.0,0.29,,,,,{1}{U}{U},3.0
Weakstone's Subjugation,common,,,Enchantment,Enchantment — Aura,,Aura,BRO,,,"Enchant artifact or creature\nWhen this Aura enters, you may pay {3}. If you do, tap enchanted permanent.\nEnchanted permanent doesn't untap during its controller's untap step.",,U,19959.0,0.11,,,,Enchant,{U},1.0
Wing Commando,common,2,2,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,"Flying\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",,U,20786.0,,,,,"Flying, Prowess",{2}{U},3.0
Zephyr Sentinel,uncommon,2,1,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,"Flash\nFlying\nWhen this creature enters, return up to one other target creature you control to its owner's hand. If it was a Soldier, put a +1/+1 counter on this creature.",,U,15156.0,0.11,,,,"Flash, Flying",{1}{U},2.0
Arcane Proxy,mythic,4,3,"Artifact, Creature",Artifact Creature — Wizard,,Wizard,BRO,,,"Prototype {1}{U}{U} — 2/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nWhen this creature enters, if you cast it, exile target instant or sorcery card with mana value less than or equal to this creature's power from your graveyard. Copy that card. You may cast the copy without paying its mana cost.",,U,13507.0,,,,,Prototype,{7},7.0
Coastal Bulwark,common,1,3,"Artifact, Creature",Artifact Creature — Wall,,Wall,BRO,,,"Defender\nThis creature gets +2/+0 as long as you control an Island.\n{2}, {T}: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)",,,18210.0,0.12,,,,"Defender, Surveil",{2},2.0
Combat Courier,common,1,1,"Artifact, Creature",Artifact Creature — Construct,,Construct,BRO,,,"{2}, Sacrifice this creature: Draw a card.\nUnearth {U} ({U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,U,11626.0,,,,,Unearth,{1},1.0
Depth Charge Colossus,common,9,9,"Artifact, Creature",Artifact Creature — Dreadnought,,Dreadnought,BRO,,,"Prototype {4}{U}{U} — 6/6 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nThis creature doesn't untap during your untap step.\n{3}: Untap this creature.",,U,18988.0,0.22,,,,Prototype,{9},9.0
Hulking Metamorph,uncommon,7,7,"Artifact, Creature",Artifact Creature — Shapeshifter,,Shapeshifter,BRO,,,"Prototype {2}{U}{U} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nYou may have this creature enter as a copy of an artifact or creature you control, except it's an artifact creature in addition to its other types, and its power and toughness are equal to this creature's power and toughness.",,U,6403.0,0.33,,,,Prototype,{9},9.0
Spotter Thopter,uncommon,4,5,"Artifact, Creature",Artifact Creature — Thopter,,Thopter,BRO,,,"Prototype {3}{U} — 2/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nFlying\nWhen this creature enters, scry X, where X is its power.",,U,16445.0,0.12,,,,"Flying, Prototype, Scry",{8},8.0
Surge Engine,mythic,3,2,"Artifact, Creature",Artifact Creature — Construct,,Construct,BRO,,,"Defender\n{U}: This creature loses defender and gains ""This creature can't be blocked.""\n{2}{U}: This creature becomes blue and has base power and toughness 5/4. Activate only if this creature doesn't have defender.\n{4}{U}{U}: Draw three cards. Activate only if this creature is blue and only once.",,U,13727.0,0.2,,,,Defender,{2},2.0
The Temporal Anchor,rare,,,Artifact,Legendary Artifact,Legendary,,BRO,,,"At the beginning of your upkeep, scry 2.\nWhenever you choose to put one or more cards on the bottom of your library while scrying, exile that many cards from the bottom of your library.\nDuring your turn, you may play cards exiled with The Temporal Anchor.",,U,6863.0,0.11,,,,Scry,{3}{U}{U}{U},6.0
Terisian Mindbreaker,rare,6,4,"Artifact, Creature",Artifact Creature — Juggernaut,,Juggernaut,BRO,,,"Whenever this creature attacks, defending player mills half their library, rounded up.\nUnearth {1}{U}{U}{U} ({1}{U}{U}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,U,4100.0,0.47,,,,"Mill, Unearth",{7},7.0
"Ashnod, Flesh Mechanist",rare,1,1,Creature,Legendary Creature — Human Artificer,Legendary,"Human, Artificer",BRO,,,"Deathtouch\nWhenever Ashnod attacks, you may sacrifice another creature. If you do, create a tapped Powerstone token.\n{5}, Exile a creature card from your graveyard: Create a tapped 3/3 colorless Zombie artifact creature token.",,B,10119.0,0.12,,,,Deathtouch,{B},1.0
Ashnod's Intervention,common,,,Instant,Instant,,,BRO,,,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies or is put into exile from the battlefield, return it to its owner's hand.""",,B,7895.0,0.08,,,,,{B},1.0
Battlefield Butcher,uncommon,1,4,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,"{5}, {T}: Each opponent loses 2 life. This ability costs {1} less to activate for each creature card in your graveyard.",,B,19778.0,,,,,,{2}{B},3.0
Carrion Locust,common,2,1,Creature,Creature — Insect Horror,,"Insect, Horror",BRO,,,"Flying\nWhen this creature enters, exile target card from an opponent's graveyard. If it was a creature card, that player loses 1 life.",,B,17610.0,0.09,,,,Flying,{2}{B},3.0
Corrupt,uncommon,,,Sorcery,Sorcery,,,BRO,,,Corrupt deals damage to any target equal to the number of Swamps you control. You gain life equal to the damage dealt this way.,,B,8705.0,0.15,,,,,{5}{B},6.0
Diabolic Intent,rare,,,Sorcery,Sorcery,,,BRO,,,"As an additional cost to cast this spell, sacrifice a creature.\nSearch your library for a card, put that card into your hand, then shuffle.",,B,258.0,0.83,,,,,{1}{B},2.0
Disciples of Gix,uncommon,4,4,Creature,Creature — Phyrexian Human,,"Phyrexian, Human",BRO,,,"When this creature enters, search your library for up to three artifact cards, put them into your graveyard, then shuffle.",,B,14243.0,0.12,,,,,{4}{B}{B},6.0
Disfigure,common,,,Instant,Instant,,,BRO,,,Target creature gets -2/-2 until end of turn.,,B,14554.0,0.12,,,,,{B},1.0
Dreams of Steel and Oil,uncommon,,,Sorcery,Sorcery,,,BRO,,,"Target opponent reveals their hand. You choose an artifact or creature card from it, then choose an artifact or creature card from their graveyard. Exile the chosen cards.",,B,16357.0,0.62,,,,,{B},1.0
Emergency Weld,common,,,Sorcery,Sorcery,,,BRO,,,Return target artifact or creature card from your graveyard to your hand. Create a 1/1 colorless Soldier artifact creature token.,,B,9412.0,0.25,,,,,{1}{B},2.0
Fateful Handoff,rare,,,Sorcery,Sorcery,,,BRO,,,Draw cards equal to the mana value of target artifact or creature you control. An opponent gains control of that permanent.,,B,9061.0,,,,,,{3}{B},4.0
"Gix, Yawgmoth Praetor",mythic,3,3,Creature,Legendary Creature — Phyrexian Praetor,Legendary,"Phyrexian, Praetor",BRO,,,"Whenever a creature deals combat damage to one of your opponents, its controller may pay 1 life. If they do, they draw a card.\n{4}{B}{B}{B}, Discard X cards: Exile the top X cards of target opponent's library. You may play lands and cast spells from among cards exiled this way without paying their mana costs.",,B,1985.0,0.68,,,,,{1}{B}{B},3.0
Gix's Caress,common,,,Sorcery,Sorcery,,,BRO,,,"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.\nCreate a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",,B,19008.0,0.1,,,,,{2}{B},3.0
Gix's Command,rare,,,Sorcery,Sorcery,,,BRO,,,Choose two —\n• Put two +1/+1 counters on up to one creature. It gains lifelink until end of turn.\n• Destroy each creature with power 2 or less.\n• Return up to two creature cards from your graveyard to your hand.\n• Each opponent sacrifices a creature with the greatest power among creatures they control.,,B,5738.0,0.64,,,,,{3}{B}{B},5.0
Gixian Infiltrator,common,2,1,Creature,Creature — Phyrexian Human,,"Phyrexian, Human",BRO,,,"Whenever you sacrifice another permanent, put a +1/+1 counter on this creature.",,B,13441.0,0.25,,,,,{1}{B},2.0
Gixian Puppeteer,rare,4,3,Creature,Creature — Phyrexian Warlock,,"Phyrexian, Warlock",BRO,,,"Whenever you draw your second card each turn, each opponent loses 2 life and you gain 2 life.\nWhen this creature dies, return another target creature card with mana value 3 or less from your graveyard to the battlefield.",,B,3017.0,0.21,,,,,{3}{B},4.0
Gixian Skullflayer,common,2,3,Creature,Creature — Phyrexian Human Assassin,,"Phyrexian, Human, Assassin",BRO,,,"At the beginning of your upkeep, if there are three or more creature cards in your graveyard, put a +1/+1 counter on this creature.",,B,15579.0,,,,,,{2}{B},3.0
Gnawing Vermin,uncommon,1,1,Creature,Creature — Rat,,Rat,BRO,,,"When this creature enters, target player mills two cards.\nWhen this creature dies, target creature you don't control gets -1/-1 until end of turn.",,B,8454.0,0.4,,,,Mill,{B},1.0
Go for the Throat,uncommon,,,Instant,Instant,,,BRO,,,Destroy target nonartifact creature.,,B,327.0,0.19,,,,,{1}{B},2.0
Gruesome Realization,uncommon,,,Sorcery,Sorcery,,,BRO,,,Choose one —\n• You draw two cards and you lose 2 life.\n• Creatures your opponents control get -1/-1 until end of turn.,,B,8826.0,,,,,,{1}{B}{B},3.0
Gurgling Anointer,uncommon,1,3,Creature,Creature — Phyrexian Horror,,"Phyrexian, Horror",BRO,,,"Flying\nWhenever you draw your second card each turn, put a +1/+1 counter on this creature.\nWhen this creature dies, return another target creature card with mana value less than or equal to this creature's power from your graveyard to the battlefield.",,B,11186.0,,,,,Flying,{2}{B},3.0
Hostile Negotiations,rare,,,Instant,Instant,,,BRO,,,"Exile the top three cards of your library in a face-down pile, then exile the top three cards of your library in another face-down pile. Look at the cards in each pile, then turn a pile of your choice face up. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. You lose 3 life.",,B,4098.0,0.24,,,,,{3}{B},4.0
Kill-Zone Acrobat,common,3,2,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,"Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, this creature gains flying until end of turn.",,B,25391.0,,,,,,{2}{B},3.0
Misery's Shadow,rare,2,2,Creature,Creature — Shade,,Shade,BRO,,,"If a creature an opponent controls would die, exile it instead.\n{1}: This creature gets +1/+1 until end of turn.",,B,13145.0,0.69,,,,,{1}{B},2.0
Moment of Defiance,common,,,Instant,Instant,,,BRO,,,Target creature gets +2/+1 and gains lifelink until end of turn.\nDraw a card.,,B,18162.0,,,,,,{2}{B},3.0
No One Left Behind,uncommon,,,Sorcery,Sorcery,,,BRO,,,This spell costs {3} less to cast if it targets a creature card with mana value 3 or less.\nReturn target creature card from your graveyard to the battlefield.,,B,11421.0,0.17,,,,,{4}{B},5.0
Overwhelming Remorse,common,,,Instant,Instant,,,BRO,,,This spell costs {1} less to cast for each creature card in your graveyard.\nExile target creature or planeswalker.,,B,4628.0,0.07,,,,,{4}{B},5.0
Painful Quandary,rare,,,Enchantment,Enchantment,,,BRO,,,"Whenever an opponent casts a spell, that player loses 5 life unless they discard a card.",,B,1324.0,1.43,,,,,{3}{B}{B},5.0
Powerstone Fracture,common,,,Sorcery,Sorcery,,,BRO,,,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nDestroy target creature or planeswalker.",,B,15319.0,0.07,,,,,{1}{B},2.0
Ravenous Gigamole,common,2,3,Creature,Creature — Mole Horror,,"Mole, Horror",BRO,,,"When this creature enters, mill three cards. You may put a creature card from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on this creature. (To mill a card, put the top card of your library into your graveyard.)",,B,19391.0,,,,,Mill,{3}{B},4.0
Thran Vigil,uncommon,,,Enchantment,Enchantment,,,BRO,,,"Whenever one or more artifact and/or creature cards leave your graveyard during your turn, put a +1/+1 counter on target creature you control.",,B,6292.0,0.33,,,,,{1}{B},2.0
Thraxodemon,common,2,2,Creature,Creature — Demon,,Demon,BRO,,,"{3}, {T}, Sacrifice another creature or artifact: Draw a card.",,B,17819.0,,,,,,{1}{B},2.0
Trench Stalker,common,4,5,Creature,Creature — Beast Horror,,"Beast, Horror",BRO,,,"As long as you've drawn two or more cards this turn, this creature has deathtouch and lifelink.",,B,24283.0,0.09,,,,,{4}{B},5.0
Ashnod's Harvester,uncommon,3,1,"Artifact, Creature",Artifact Creature — Construct,,Construct,BRO,,,"Whenever this creature attacks, exile target card from a graveyard.\nUnearth {1}{B} ({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,B,17044.0,0.11,,,,Unearth,{2},2.0
Clay Revenant,common,1,2,"Artifact, Creature",Artifact Creature — Golem,,Golem,BRO,,,This creature enters tapped.\n{2}{B}: Return this card from your graveyard to your hand.,,B,12855.0,,,,,,{1},1.0
Dredging Claw,common,,,Artifact,Artifact — Equipment,,Equipment,BRO,,,"Equipped creature gets +1/+0 and has menace. (It can't be blocked except by two or more creatures.)\nWhenever a creature enters from your graveyard, you may attach this Equipment to it.\nEquip {1}{B} ({1}{B}: Attach to target creature you control. Equip only as a sorcery.)",,B,20166.0,,,,,Equip,{2},2.0
Goring Warplow,common,5,4,"Artifact, Creature",Artifact Creature — Construct,,Construct,BRO,,,"Prototype {1}{B} — 1/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nDeathtouch",,B,18122.0,,,,,"Deathtouch, Prototype",{6},6.0
Phyrexian Fleshgorger,mythic,7,5,"Artifact, Creature",Artifact Creature — Phyrexian Wurm,,"Phyrexian, Wurm",BRO,,,"Prototype {1}{B}{B} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nMenace, lifelink\nWard—Pay life equal to this creature's power.",,B,7992.0,0.2,,,,"Lifelink, Menace, Prototype, Ward",{7},7.0
Razorlash Transmogrant,rare,3,1,"Artifact, Creature",Artifact Creature — Zombie,,Zombie,BRO,,,This creature can't block.\n{4}{B}{B}: Return this card from your graveyard to the battlefield with a +1/+1 counter on it. This ability costs {4} less to activate if an opponent controls four or more nonbasic lands.,,B,8629.0,0.1,,,,,{2},2.0
Scrapwork Rager,common,2,2,"Artifact, Creature",Artifact Creature — Phyrexian Horror,,"Phyrexian, Horror",BRO,,,"When this creature enters, you draw a card and you lose 1 life.\nUnearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,B,17076.0,,,,,Unearth,{4},4.0
Transmogrant Altar,uncommon,,,Artifact,Artifact,,,BRO,,,"{B}, {T}, Sacrifice a creature: Add {C}{C}{C}.\n{2}, {T}, Sacrifice a creature: Create a 3/3 colorless Zombie artifact creature token. Activate only as a sorcery.",,B,8606.0,0.27,,,,,{3},3.0
Transmogrant's Crown,rare,,,Artifact,Artifact — Equipment,,Equipment,BRO,,,"Equipped creature gets +2/+0.\nWhenever equipped creature dies, draw a card.\nEquip {2} or {B}",,B,7766.0,0.17,,,,Equip,{2},2.0
Arms Race,uncommon,,,Enchantment,Enchantment,,,BRO,,,{3}{R}: You may put an artifact card from your hand onto the battlefield. That artifact gains haste. Sacrifice it at the beginning of the next end step.,,R,18287.0,0.08,,,,,{3}{R},4.0
Bitter Reunion,common,,,Enchantment,Enchantment,,,BRO,,,"When this enchantment enters, you may discard a card. If you do, draw two cards.\n{1}, Sacrifice this enchantment: Creatures you control gain haste until end of turn.",,R,2268.0,0.09,,,,,{1}{R},2.0
Brotherhood's End,rare,,,Sorcery,Sorcery,,,BRO,,,Choose one —\n• Brotherhood's End deals 3 damage to each creature and each planeswalker.\n• Destroy all artifacts with mana value 3 or less.,,R,5415.0,0.35,,,,,{1}{R}{R},3.0
Conscripted Infantry,common,3,1,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,"When this creature dies, create a 1/1 colorless Soldier artifact creature token.",,R,22077.0,,,,,,{2}{R},3.0
Draconic Destiny,mythic,,,Enchantment,Enchantment — Aura,,Aura,BRO,,,"Enchant creature\nEnchanted creature gets +1/+1 and has flying, haste, and ""{1}: This creature gets +1/+0 until end of turn."" It's a Dragon in addition to its other types.\nWhen enchanted creature dies, return this card to its owner's hand.",,R,8625.0,0.15,,,,Enchant,{1}{R}{R},3.0
Dwarven Forge-Chanter,common,1,3,Creature,Creature — Dwarf Wizard,,"Dwarf, Wizard",BRO,,,"Ward—Pay 2 life. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2 life.)\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",,R,14192.0,,,,,"Prowess, Ward",{1}{R},2.0
Excavation Explosion,common,,,Sorcery,Sorcery,,,BRO,,,"Excavation Explosion deals 3 damage to any target. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",,R,17045.0,,,,,,{2}{R},3.0
The Fall of Kroog,uncommon,,,Sorcery,Sorcery,,,BRO,,,Choose target opponent. Destroy target land that player controls. The Fall of Kroog deals 3 damage to that player and 1 damage to each creature they control.,,R,19843.0,0.25,,,,,{4}{R}{R},6.0
Fallaji Chaindancer,common,2,4,Creature,Creature — Human Soldier,,"Human, Soldier",BRO,,,{2}: This creature gains double strike until end of turn.,,R,25274.0,,,,,,{3}{R},4.0
"Feldon, Ronom Excavator",rare,2,2,Creature,Legendary Creature — Human Artificer,Legendary,"Human, Artificer",BRO,,,"Haste\nFeldon can't block.\nWhenever Feldon is dealt damage, exile that many cards from the top of your library. Choose one of them. Until the end of your next turn, you may play that card.",,R,13925.0,0.2,,,,Haste,{1}{R},2.0
Giant Cindermaw,uncommon,4,3,Creature,Creature — Dinosaur Beast,,"Dinosaur, Beast",BRO,,,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nPlayers can't gain life.,,R,10211.0,0.38,,,,Trample,{2}{R},3.0
Goblin Blast-Runner,common,1,2,Creature,Creature — Goblin,,Goblin,BRO,,,This creature gets +2/+0 and has menace as long as you sacrificed a permanent this turn.,,R,18231.0,,,,,,{R},1.0
