subtypes,toughness,type,name,rarity,historic,manaCost,power,text,types,alchemy,faceConvertedManaCost
"Swamp, Gate",,Land — Swamp Gate,Gate of the Black Dragon,uncommon,Legal,,,"({T}: Add {B}.)\nGate of the Black Dragon enters the battlefield tapped.\n{3}{B}, {T}: Seek a nonland card. Activate only once.",Land,,
"Forest, Gate",,Land — Forest Gate,Gate to Manorborn,uncommon,Legal,,,"({T}: Add {G}.)\nGate to Manorborn enters the battlefield tapped.\n{3}{G}, {T}: Seek a nonland card. Activate only once.",Land,,
"Island, Gate",,Land — Island Gate,Gate to Seatower,uncommon,Legal,,,"({T}: Add {U}.)\nGate to Seatower enters the battlefield tapped.\n{3}{U}, {T}: Seek a nonland card. Activate only once.",Land,,
"Plains, Gate",,Land — Plains Gate,Gate to the Citadel,uncommon,Legal,,,"({T}: Add {W}.)\nGate to the Citadel enters the battlefield tapped.\n{3}{W}, {T}: Seek a nonland card. Activate only once.",Land,,
"Mountain, Gate",,Land — Mountain Gate,Gate to Tumbledown,uncommon,Legal,,,"({T}: Add {R}.)\nGate to Tumbledown enters the battlefield tapped.\n{3}{R}, {T}: Seek a nonland card. Activate only once.",Land,,
"Elder, Dragon",10,Creature — Elder Dragon,Ancient Gold Dragon,mythic,Legal,{5}{W}{W},7,"Flying\nWhenever this creature deals combat damage to a player, roll a d20. You create a number of 1/1 blue Faerie Dragon creature tokens with flying equal to the result.",Creature,,
"Halfling, Cleric",2,Creature — Halfling Cleric,Archivist of Oghma,rare,Legal,{1}{W},2,"Flash\nWhenever an opponent searches their library, you gain 1 life and draw a card.",Creature,,
,,Sorcery,Ascend from Avernus,rare,Legal,{X}{W}{W}{W},,Return all creature and planeswalker cards with mana value X or less from your graveyard to the battlefield. Exile Ascend from Avernus.,Sorcery,,
Hippogriff,3,Creature — Hippogriff,Blessed Hippogriff // Tyr's Blessing,common,,{3}{W},2,"Flying\nWhenever this creature attacks, target attacking creature without flying gains flying until end of turn.",Creature,,4.0
Adventure,,Instant — Adventure,Blessed Hippogriff // Tyr's Blessing,common,,{W},,Target creature gains indestructible until end of turn. (Then exile this card. You may cast the creature later from exile.),Instant,,1.0
Hippogriff,3,Creature — Hippogriff,A-Blessed Hippogriff // A-Tyr's Blessing,common,Legal,{3}{W},2,"Flying\nWhenever Blessed Hippogriff attacks, target attacking creature without flying gains flying until end of turn.",Creature,,4.0
Adventure,,Instant — Adventure,A-Blessed Hippogriff // A-Tyr's Blessing,common,Legal,{1}{W},,Target creature gains indestructible until end of turn. (Then exile this card. You may cast the creature later from exile.),Instant,,2.0
"Gnome, Soldier",2,Creature — Gnome Soldier,Flaming Fist Officer,common,Legal,{2}{W},2,"Whenever another creature you control leaves the battlefield, put a +1/+1 counter on this creature.",Creature,,
Snake,6,Creature — Snake,Guardian Naga // Banishing Coils,common,Legal,{5}{W}{W},5,"Vigilance\nDuring your turn, prevent all damage that would be dealt to this creature.",Creature,,7.0
Adventure,,Instant — Adventure,Guardian Naga // Banishing Coils,common,Legal,{2}{W},,Exile target artifact or enchantment. (Then exile this card. You may cast the creature later from exile.),Instant,,3.0
,,Instant,Guiding Bolt,uncommon,Legal,{2}{W},,"Destroy target creature with power 4 or greater.\nScry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",Instant,,
Equipment,,Artifact — Equipment,Horn of Valhalla // Ysgard's Call,rare,Legal,{1}{W},,Equipped creature gets +1/+1 for each creature you control.\nEquip {3},Artifact,,2.0
Adventure,,Sorcery — Adventure,Horn of Valhalla // Ysgard's Call,rare,Legal,{X}{W}{W},,Create X 1/1 white Soldier creature tokens. (Then exile this card. You may cast the artifact later from exile.),Sorcery,,2.0
"Tiefling, Warrior",3,Creature — Tiefling Warrior,Icewind Stalwart,common,Legal,{3}{W},3,"Protection Fighting Style — When this creature enters, exile up to one target non-Warrior creature you control, then return it to the battlefield under its owner's control.",Creature,,
,,Instant,Lae'zel's Acrobatics,rare,Legal,{3}{W},,"Exile all nontoken creatures you control, then roll a d20.\n1—9 | Return those cards to the battlefield under their owner's control at the beginning of the next end step.\n10—20 | Return those cards to the battlefield under their owner's control, then exile them again. Return those cards to the battlefield under their owner's control at the beginning of the next end step.",Instant,,
Pegasus,3,Creature — Pegasus,Pegasus Guardian // Rescue the Foal,uncommon,Legal,{5}{W},3,"Flying\nAt the beginning of your end step, if a permanent you controlled left the battlefield this turn, create a 1/1 white Pegasus creature token with flying.",Creature,,6.0
Adventure,,Instant — Adventure,Pegasus Guardian // Rescue the Foal,uncommon,Legal,{1}{W},,"Exile target creature you control, then return that card to the battlefield under its owner's control. (Then exile this card. You may cast the creature later from exile.)",Instant,,2.0
"Elemental, Spirit",2,Creature — Elemental Spirit,Rescuer Chwinga,uncommon,Legal,{1}{W},2,"Flash\nNatural Shelter — When this creature enters, you may return another permanent you control to its owner's hand.",Creature,,
Bird,1,Creature — Bird,Scouting Hawk,uncommon,Legal,{2}{W},1,"Flying\nKeen Sight — When this creature enters, if an opponent controls more lands than you, search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle.",Creature,,
Unicorn,2,Creature — Unicorn,Steadfast Unicorn,common,,{W},1,{3}{W}: Creatures you control get +1/+1 and gain vigilance until end of turn. Activate only during your turn. (Attacking doesn't cause them to tap.),Creature,,
Unicorn,2,Creature — Unicorn,A-Steadfast Unicorn,common,Legal,{W},1,{4}{W}: Creatures you control get +1/+1 and gain vigilance until end of turn. Activate only during your turn.,Creature,,
,,Sorcery,Stick Together,rare,Legal,{3}{W}{W},,"Each player chooses a party from among creatures they control, then sacrifices the rest. (To choose a party, choose up to one each of Cleric, Rogue, Warrior, and Wizard.)",Sorcery,,
,,Instant,You're Confronted by Robbers,uncommon,Legal,{3}{W},,Choose one —\n• Stall for Time — Tap up to three target creatures.\n• Call for Aid — Create three 1/1 white Soldier creature tokens.,Instant,,
"Elder, Dragon",8,Creature — Elder Dragon,Ancient Silver Dragon,mythic,Legal,{6}{U}{U},8,"Flying\nWhenever this creature deals combat damage to a player, roll a d20. Draw cards equal to the result. You have no maximum hand size for the rest of the game.",Creature,,
,,Instant,Blur,common,Legal,{2}{U},,"Exile target creature you control, then return that card to the battlefield under its owner's control.\nDraw a card.",Instant,,
"Cat, Beast",2,Creature — Cat Beast,Displacer Kitten,rare,Legal,{3}{U},2,"Avoidance — Whenever you cast a noncreature spell, exile up to one target nonland permanent you control, then return that card to the battlefield under its owner's control.",Creature,,
,,Instant,Draconic Lore,uncommon,Legal,{5}{U},,This spell costs {2} less to cast if you control a Dragon.\nDraw three cards.,Instant,,
"Dragon, Rogue",2,Creature — Dragon Rogue,Dragonborn Looter,common,,{1}{U},1,"{1}, {T}: Draw a card, then discard a card.",Creature,,
"Dragon, Rogue",2,Creature — Dragon Rogue,A-Dragonborn Looter,common,Legal,{U},1,"{1}, {T}: Draw a card, then discard a card.",Creature,,
,,Instant,Dream Fracture,uncommon,Legal,{1}{U}{U},,Counter target spell. Its controller draws a card.\nDraw a card.,Instant,,
,,Instant,Gale's Redirection,rare,Legal,{3}{U}{U},,"Exile target spell, then roll a d20 and add that spell's mana value.\n1—14 | You may cast the exiled card for as long as it remains exiled, and you may spend mana as though it were mana of any color to cast that spell.\n15+ | You may cast the exiled card without paying its mana cost for as long as it remains exiled.",Instant,,
Equipment,,Artifact — Equipment,Goggles of Night,uncommon,,{1}{U},,"Whenever equipped creature deals combat damage to a player, scry 1, then draw a card. (To scry 1, look at the top card of your library, then you may put that card on the bottom.)\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Artifact,,
Equipment,,Artifact — Equipment,A-Goggles of Night,uncommon,Legal,{1}{U},,"Whenever equipped creature deals combat damage to a player, scry 1, then draw a card. (To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Artifact,,
Horror,4,Creature — Horror,Illithid Harvester // Plant Tadpoles,rare,Legal,{4}{U},4,"Ceremorphosis — When this creature enters, turn any number of target tapped nontoken creatures face down. They're 2/2 Horror creatures.",Creature,,5.0
Adventure,,Sorcery — Adventure,Illithid Harvester // Plant Tadpoles,rare,Legal,{X}{U}{U},,Tap X target creatures. They don't untap during their controllers' next untap steps. (Then exile this card. You may cast the creature later from exile.),Sorcery,,2.0
,,Sorcery,Irenicus's Vile Duplication,uncommon,Legal,{3}{U},,"Create a token that's a copy of target creature you control, except the token has flying and it isn't legendary.",Sorcery,,
Dragon,3,Creature — Dragon,Juvenile Mist Dragon,uncommon,Legal,{3}{U}{U},4,"Flying\nConfounding Clouds — When this creature enters, for each opponent, tap up to one target creature that player controls. Each of those creatures doesn't untap during its controller's next untap step.",Creature,,
"Bird, Artificer",1,Creature — Bird Artificer,Kenku Artificer,uncommon,,{2}{U},1,"Homunculus Servant — When this creature enters, put three +1/+1 counters on up to one target noncreature artifact. That artifact becomes a 0/0 Homunculus artifact creature with flying.",Creature,,
"Bird, Artificer",3,Creature — Bird Artificer,A-Kenku Artificer,uncommon,Legal,{2}{U},1,"Homunculus Servant — When Kenku Artificer enters, put three +1/+1 counters on up to one target noncreature artifact. That artifact becomes a 0/0 Homunculus artifact creature with flying.",Creature,,
,,Enchantment,Kindred Discovery,rare,Legal,{3}{U}{U},,"As this enchantment enters, choose a creature type.\nWhenever a creature you control of the chosen type enters or attacks, draw a card.",Enchantment,,
,,Artifact,Lapis Orb of Dragonkind,uncommon,,{2}{U},,"{T}: Add {U}. When you spend this mana to cast a Dragon creature spell, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",Artifact,,
,,Artifact,A-Lapis Orb of Dragonkind,uncommon,Legal,{2}{U},,"{T}: Add one mana of any color. When you spend this mana to cast a Dragon creature spell, scry 2.",Artifact,,
Dragon,1,Creature — Dragon,Pseudodragon Familiar,common,,{2}{U},2,Flying\n{2}{U}: Target creature gains flying until end of turn.,Creature,,
Dragon,2,Creature — Dragon,A-Pseudodragon Familiar,common,Legal,{2}{U},2,Flying\n{2}{U}: Target creature gains flying until end of turn.,Creature,,
Equipment,,Artifact — Equipment,Robe of the Archmagi,rare,Legal,{2}{U},,"Whenever equipped creature deals combat damage to a player, you draw that many cards.\nEquip {4}\nEquip Shaman, Warlock, or Wizard {1}",Artifact,,
"Serpent, Dragon",6,Creature — Serpent Dragon,Sword Coast Serpent // Capsizing Wave,uncommon,Legal,{5}{U}{U},6,This creature can't be blocked as long as you've cast a noncreature spell this turn.,Creature,,7.0
Adventure,,Instant — Adventure,Sword Coast Serpent // Capsizing Wave,uncommon,Legal,{1}{U},,Return target creature to its owner's hand. (Then exile this card. You may cast the creature later from exile.),Instant,,2.0
"Orc, Rogue",3,Creature — Orc Rogue,Tymora's Invoker,common,Legal,{1}{U},1,Sleight of Hand — {8}: Draw two cards.,Creature,,
,,Sorcery,A-You Come to a River,common,Legal,{2}{U},,Choose one —\n• Fight the Current — The owner of target nonland permanent puts it on the top or bottom of their library.\n• Find a Crossing — Target creature gets +1/+0 until end of turn and can't be blocked this turn.,Sorcery,,
Dragon,3,Creature — Dragon,Young Blue Dragon // Sand Augury,common,,{4}{U},3,Flying,Creature,,5.0
Adventure,,Sorcery — Adventure,Young Blue Dragon // Sand Augury,common,,{1}{U},,"Scry 1, then draw a card. (Then exile this card. You may cast the creature later from exile.)",Sorcery,,2.0
Dragon,4,Creature — Dragon,A-Young Blue Dragon // A-Sand Augury,common,Legal,{4}{U},3,Flying,Creature,,5.0
Adventure,,Sorcery — Adventure,A-Young Blue Dragon // A-Sand Augury,common,Legal,{1}{U},,"Scry 1, then draw a card. (Then exile this card. You may cast the creature later from exile.)",Sorcery,,2.0
,,Artifact,Altar of Bhaal // Bone Offering,rare,Legal,{1}{B},,"{2}{B}, {T}, Exile a creature you control: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.",Artifact,,2.0
Adventure,,Sorcery — Adventure,Altar of Bhaal // Bone Offering,rare,Legal,{2}{B},,Create a tapped 4/1 black Skeleton creature token with menace. (Then exile this card. You may cast the artifact later from exile.),Sorcery,,3.0
,,Sorcery,Ambition's Cost,uncommon,Legal,{3}{B},,You draw three cards and you lose 3 life.,Sorcery,,
"Elder, Dragon",6,Creature — Elder Dragon,Ancient Brass Dragon,mythic,Legal,{5}{B}{B},7,"Flying\nWhenever this creature deals combat damage to a player, roll a d20. When you do, put any number of target creature cards with total mana value X or less from graveyards onto the battlefield under your control, where X is the result.",Creature,,
,,Instant,Armor of Shadows,common,Legal,{B},,"Until end of turn, target creature gets +1/+0 and gains indestructible. (Damage and effects that say ""destroy"" don't destroy it.)",Instant,,
Beholder,5,Creature — Beholder,A-Baleful Beholder,common,Legal,{4}{B}{B},7,"When Baleful Beholder enters, choose one —\n• Antimagic Cone — Each opponent sacrifices an enchantment.\n• Fear Ray — Creatures you control gain menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.)",Creature,,
,,Enchantment,Black Market Connections,rare,Legal,{2}{B},,"At the beginning of your first main phase, choose one or more —\n• Sell Contraband — Create a Treasure token. You lose 1 life.\n• Buy Information — Draw a card. You lose 2 life.\n• Hire a Mercenary — Create a 3/2 colorless Shapeshifter creature token with changeling. You lose 3 life. (It is every creature type.)",Enchantment,,
,,Sorcery,Blood Money,mythic,Legal,{5}{B}{B},,"Destroy all creatures. For each nontoken creature destroyed this way, you create a tapped Treasure token.",Sorcery,,
"Human, Cleric",1,Creature — Human Cleric,Bonecaller Cleric,uncommon,Legal,{1}{B},2,"{3}{B}, Sacrifice this creature: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.",Creature,,
Devil,2,Creature — Devil,Chain Devil,common,Legal,{3}{B},4,"Animate Chains — When this creature enters, each player sacrifices a nontoken creature of their choice.",Creature,,
,,Sorcery,Demogorgon's Clutches,common,Legal,{2}{B},,"Target opponent discards two cards, mills two cards, and loses 2 life. (To mill a card, a player puts the top card of their library into their graveyard.)",Sorcery,,
,,Sorcery,Eldritch Pact,rare,Legal,{6}{B},,"Target player draws X cards and loses X life, where X is the number of cards in their graveyard.",Sorcery,,
,,Instant,A-Eyes of the Beholder,common,Legal,{3}{B}{B},,Target creature gets -11/-11 until end of turn.,Instant,,
Equipment,,Artifact — Equipment,Ghost Lantern // Bind Spirit,uncommon,Legal,{B},,"Whenever a creature you control dies, put a +1/+1 counter on equipped creature.\nEquip {1}",Artifact,,1.0
Adventure,,Instant — Adventure,Ghost Lantern // Bind Spirit,uncommon,Legal,{1}{B},,Return target creature card from your graveyard to your hand. (Then exile this card. You may cast the artifact later from exile.),Instant,,2.0
"Frog, Horror",1,Creature — Frog Horror,Gray Slaad // Entropic Decay,common,Legal,{2}{B},4,"As long as there are four or more creature cards in your graveyard, this creature has menace and deathtouch.",Creature,,3.0
Adventure,,Sorcery — Adventure,Gray Slaad // Entropic Decay,common,Legal,{1}{B},,Mill four cards. (Then exile this card. You may cast the creature later from exile.),Sorcery,,2.0
"Tiefling, Rogue",2,Creature — Tiefling Rogue,Grim Hireling,rare,Legal,{3}{B},3,"Whenever one or more creatures you control deal combat damage to a player, create two Treasure tokens.\n{B}, Sacrifice X Treasures: Target creature gets -X/-X until end of turn. Activate only as a sorcery.",Creature,,
"Tiefling, Rogue, Assassin",1,Creature — Tiefling Rogue Assassin,Guildsworn Prowler,common,,{1}{B},2,"Deathtouch\nWhen this creature dies, if it wasn't blocking, draw a card.",Creature,,
"Tiefling, Rogue, Assassin",1,Creature — Tiefling Rogue Assassin,A-Guildsworn Prowler,common,Legal,{1}{B},1,"Deathtouch\nWhen Guildsworn Prowler dies, if it wasn't blocking, draw a card.",Creature,,
Horror,4,Creature — Horror,Intellect Devourer,rare,Legal,{3}{B},2,"Devour Intellect — When this creature enters, each opponent exiles a card from their hand until this creature leaves the battlefield.\nBody Thief — You may play lands and cast spells from among cards exiled with this creature. If you cast a spell this way, you may spend mana as though it were mana of any color to cast it.",Creature,,
Manticore,1,Creature — Manticore,A-Manticore,common,Legal,{3}{B},3,"Flash\nFlying\nTail Spikes — When Manticore enters, destroy target creature an opponent controls that was dealt damage this turn.",Creature,,
Imp,1,Creature — Imp,Nefarious Imp,common,Legal,{2}{B},2,"Flying\nWhenever one or more permanents you control leave the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",Creature,,
Equipment,,Artifact — Equipment,Pact Weapon,mythic,Legal,{3}{B},,"As long as this Equipment is attached to a creature, you don't lose the game for having 0 or less life.\nWhenever equipped creature attacks, draw a card and reveal it. The creature gets +X/+X until end of turn and you lose X life, where X is that card's mana value.\nEquip—Discard a card.",Artifact,,
,,Enchantment,Sigil of Myrkul,uncommon,,{2}{B},,"At the beginning of combat on your turn, mill a card. When you do, if there are four or more creature cards in your graveyard, put a +1/+1 counter on target creature you control and it gains deathtouch until end of turn. (To mill a card, put the top card of your library into your graveyard.)",Enchantment,,
,,Enchantment,A-Sigil of Myrkul,uncommon,Legal,{1}{B},,"At the beginning of combat on your turn, mill a card. When you do, if there are four or more creature cards in your graveyard, put a +1/+1 counter on target creature you control and it gains deathtouch until end of turn. (To mill a card, put the top card of your library into your graveyard.)",Enchantment,,
,,Sorcery,Summon Undead,common,Legal,{4}{B},,"You may mill three cards. Then return a creature card from your graveyard to the battlefield. (To mill a card, put the top card of your library into your graveyard.)",Sorcery,,
Equipment,,Legendary Artifact — Equipment,Wand of Orcus,rare,Legal,{2}{B},,"Whenever equipped creature attacks or blocks, it and Zombies you control gain deathtouch until end of turn.\nWhenever equipped creature deals combat damage to a player, create that many 2/2 black Zombie creature tokens.\nEquip {3}",Artifact,,
"Elder, Dragon",5,Creature — Elder Dragon,Ancient Copper Dragon,mythic,Legal,{4}{R}{R},6,"Flying\nWhenever this creature deals combat damage to a player, roll a d20. You create a number of Treasure tokens equal to the result.",Creature,,
,,Instant,Breath Weapon,uncommon,Legal,{2}{R},,Breath Weapon deals 2 damage to each non-Dragon creature.,Instant,,
,,Artifact,Carnelian Orb of Dragonkind,uncommon,,{2}{R},,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",Artifact,,
,,Artifact,A-Carnelian Orb of Dragonkind,uncommon,Legal,{2}{R},,"{T}: Add one mana of any color. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",Artifact,Legal,
Equipment,,Artifact — Equipment,Fiendlash,rare,Legal,{1}{R},,"Equipped creature gets +2/+0 and has reach.\nWhenever equipped creature is dealt damage, it deals damage equal to its power to target player or planeswalker.\nEquip {2}{R}",Artifact,,
"Beast, Demon",6,Creature — Beast Demon,Nalfeshnee,rare,Legal,{5}{R},4,"Flying\nWhenever you cast a spell from exile, copy it. You may choose new targets for the copy. If it's a permanent spell, the copy gains haste and ""At the beginning of the end step, sacrifice this permanent."" (A copy of a permanent spell becomes a token.)",Creature,,
"Dragon, Barbarian",2,Creature — Dragon Barbarian,Reckless Barbarian,common,Legal,{1}{R},2,Sacrifice this creature: Add {R}{R}.,Creature,,
,,Instant,Storm King's Thunder,mythic,Legal,{X}{R}{R}{R},,"When you next cast an instant or sorcery spell this turn, copy that spell X times. You may choose new targets for the copies.",Instant,,
"Dragon, Rogue, Warrior",2,Creature — Dragon Rogue Warrior,Swashbuckler Extraordinaire,uncommon,Legal,{2}{R},2,"When this creature enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")\nWhenever you attack, you may sacrifice one or more Treasures. When you do, up to that many target creatures gain double strike until end of turn.",Creature,,
Equipment,,Artifact — Equipment,Two-Handed Axe // Sweeping Cleave,uncommon,Legal,{2}{R},,"Whenever equipped creature attacks, double its power until end of turn.\nEquip {1}{R}",Artifact,,3.0
Adventure,,Instant — Adventure,Two-Handed Axe // Sweeping Cleave,uncommon,Legal,{1}{R},,Target creature you control gains double strike until end of turn. (Then exile this card. You may cast the artifact later from exile.),Instant,,2.0
Dragon,5,Creature — Dragon,Wrathful Red Dragon,rare,Legal,{3}{R}{R},5,"Flying\nWhenever a Dragon you control is dealt damage, it deals that much damage to any target that isn't a Dragon.",Creature,,
,,Instant,You Find Some Prisoners,common,Legal,{1}{R},,"Choose one —\n• Break Their Chains — Destroy target artifact.\n• Interrogate Them — Exile the top three cards of target opponent's library. Choose one of them. Until the end of your next turn, you may play that card, and you may spend mana as though it were mana of any color to cast it.",Instant,,
Dragon,2,Creature — Dragon,Young Red Dragon // Bathe in Gold,common,,{3}{R},3,Flying\nThis creature can't block.,Creature,,4.0
Adventure,,Instant — Adventure,Young Red Dragon // Bathe in Gold,common,,{1}{R},,Create a Treasure token. (Then exile this card. You may cast the creature later from exile.),Instant,,2.0
Dragon,1,Creature — Dragon,A-Young Red Dragon // A-Bathe in Gold,common,Legal,{3}{R},3,Flying,Creature,,4.0
Adventure,,Instant — Adventure,A-Young Red Dragon // A-Bathe in Gold,common,Legal,{1}{R},,Create a Treasure token. (Then exile this card. You may cast the creature later from exile.),Instant,,2.0
"Dragon, Barbarian",0,Creature — Dragon Barbarian,Ambitious Dragonborn,common,Legal,{3}{G},0,"This creature enters with X +1/+1 counters on it, where X is the greatest power among creatures you control and creature cards in your graveyard.",Creature,,
"Elder, Dragon",7,Creature — Elder Dragon,Ancient Bronze Dragon,mythic,Legal,{5}{G}{G},7,"Flying\nWhenever this creature deals combat damage to a player, roll a d20. When you do, put X +1/+1 counters on each of up to two target creatures, where X is the result.",Creature,,
,,Instant,Band Together,common,Legal,{2}{G},,Up to two target creatures you control each deal damage equal to their power to another target creature.,Instant,,
Equipment,,Artifact — Equipment,Belt of Giant Strength,rare,Legal,{1}{G},,"Equipped creature has base power and toughness 10/10.\nEquip {10}. This ability costs {X} less to activate, where X is the power of the creature it targets.",Artifact,,
"Gnome, Druid",1,Creature — Gnome Druid,Circle of the Land Druid,common,,{1}{G},1,"When this creature enters, you may mill four cards. (You may put the top four cards of your library into your graveyard.)\nNatural Recovery — When this creature dies, return target land card from your graveyard to your hand.",Creature,,
"Gnome, Druid",1,Creature — Gnome Druid,A-Circle of the Land Druid,common,Legal,{1}{G},2,"When Circle of the Land Druid enters, you may mill four cards. (You may put the top four cards of your library into your graveyard.)\nNatural Recovery — When Circle of the Land Druid dies, return target land card from your graveyard to your hand.",Creature,,
"Dragon, Bard",3,Creature — Dragon Bard,Draconic Muralists,uncommon,Legal,{3}{G},4,"When this creature dies, you may search your library for a Dragon card, reveal it, put it into your hand, then shuffle.",Creature,,
"Snake, Dragon",6,Creature — Snake Dragon,Dread Linnorm // Scale Deflection,common,Legal,{6}{G},7,This creature can't be blocked by creatures with power 3 or less.,Creature,,7.0
Adventure,,Instant — Adventure,Dread Linnorm // Scale Deflection,common,Legal,{3}{G},,Put two +1/+1 counters on target creature and untap it. It gains hexproof until end of turn. (Then exile this card. You may cast the creature later from exile.),Instant,,4.0
"Dwarf, Druid",2,Creature — Dwarf Druid,Druid of the Emerald Grove,uncommon,Legal,{3}{G},2,"When this creature enters, search your library for up to two basic land cards and reveal them, then roll a d20.\n9 or less | Put those cards into your hand, then shuffle.\n10—19 | Put one of those cards onto the battlefield tapped and the other into your hand, then shuffle.\n20+ | Put those cards onto the battlefield tapped, then shuffle.",Creature,,
,,Sorcery,Druidic Ritual,common,,{2}{G},,"You may mill three cards. Then return up to one creature card and up to one land card from your graveyard to your hand. (To mill a card, put the top card of your library into your graveyard.)",Sorcery,,
,,Sorcery,A-Druidic Ritual,common,Legal,{2}{G},,You may mill three cards. Then return up to two creature and/or land cards from your graveyard to your hand.,Sorcery,,
"Elemental, Dragon",10,Creature — Elemental Dragon,Earthquake Dragon,rare,,{14}{G},10,"This spell costs {X} less to cast, where X is the total mana value of Dragons you control.\nFlying, trample\n{2}{G}, Sacrifice a land: Return this card from your graveyard to your hand.",Creature,,
"Elemental, Dragon",10,Creature — Elemental Dragon,A-Earthquake Dragon,rare,Legal,{14}{G},10,"This spell costs {X} less to cast, where X is the total mana value of Dragons you control not named Earthquake Dragon.\nFlying, trample\n{2}{G}, Sacrifice a land: Return A-Earthquake Dragon from your graveyard to your hand.",Creature,,
Dragon,4,Creature — Dragon,Emerald Dragon // Dissonant Wave,uncommon,,{4}{G}{G},4,"Flying, trample",Creature,,6.0
Adventure,,Instant — Adventure,Emerald Dragon // Dissonant Wave,uncommon,,{2}{G},,Counter target activated or triggered ability from a noncreature source. (Then exile this card. You may cast the creature later from exile.),Instant,,3.0
Dragon,4,Creature — Dragon,A-Emerald Dragon // A-Dissonant Wave,uncommon,Legal,{4}{G}{G},4,"Flying, ward {2}",Creature,,6.0
Adventure,,Instant — Adventure,A-Emerald Dragon // A-Dissonant Wave,uncommon,Legal,{2}{G},,Counter target activated or triggered ability from a noncreature source. (Then exile this card. You may cast the creature later from exile.),Instant,,3.0
"Spider, Beast",5,Creature — Spider Beast,Ettercap // Web Shot,common,Legal,{4}{G},2,Reach,Creature,,5.0
Adventure,,Instant — Adventure,Ettercap // Web Shot,common,Legal,{2}{G},,Destroy target creature with flying. (Then exile this card. You may cast the creature later from exile.),Instant,,3.0
,,Artifact,Jade Orb of Dragonkind,uncommon,,{2}{G},,"{T}: Add {G}. When you spend this mana to cast a Dragon creature spell, it enters with an additional +1/+1 counter on it and gains hexproof until your next turn. (It can't be the target of spells or abilities your opponents control.)",Artifact,,
,,Artifact,A-Jade Orb of Dragonkind,uncommon,Legal,{2}{G},,"{T}: Add one mana of any color. When you spend this mana to cast a Dragon creature spell, it enters with an additional +1/+1 counter on it and gains hexproof until your next turn.",Artifact,,
,,Artifact,Monster Manual // Zoological Study,rare,Legal,{3}{G},,"{1}{G}, {T}: You may put a creature card from your hand onto the battlefield.",Artifact,,4.0
Adventure,,Sorcery — Adventure,Monster Manual // Zoological Study,rare,Legal,{2}{G},,"Mill five cards, then return a creature card milled this way to your hand. (Then exile this card. You may cast the artifact later from exile.)",Sorcery,,3.0
"Goblin, Druid",4,Creature — Goblin Druid,Owlbear Shepherd,uncommon,Legal,{2}{G},1,"At the beginning of your end step, if creatures you control have total power 8 or greater, draw a card.",Creature,,
,,Instant,Poison the Blade,common,Legal,{1}{G},,Target creature gains deathtouch until end of turn.\nDraw a card.,Instant,,
"Dragon, Druid",2,Creature — Dragon Druid,Scaled Nurturer,common,Legal,{1}{G},0,"{T}: Add {G}. When you spend this mana to cast a Dragon creature spell, you gain 2 life.",Creature,,
,,Sorcery,Split the Spoils,uncommon,,{2}{G},,Exile up to five target permanent cards from your graveyard and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. (Piles can be empty.),Sorcery,,
,,Sorcery,A-Split the Spoils,uncommon,Legal,{1}{G},,Exile up to five target permanent cards from your graveyard and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. (Piles can be empty.),Sorcery,,
,,Sorcery,Traverse the Outlands,rare,Legal,{4}{G},,"Search your library for up to X basic land cards, where X is the greatest power among creatures you control. Put those cards onto the battlefield tapped, then shuffle.",Sorcery,,
Fungus,2,Creature — Fungus,Undercellar Myconid,common,Legal,{2}{G},1,"Whenever this creature enters or dies, create a 1/1 green Saproling creature token.\n{T}: Add one mana of any color.",Creature,,
"Human, Shaman",5,Legendary Creature — Human Shaman,Alaundo the Seer,rare,Legal,{2}{G}{U},3,"{T}: Draw a card, then exile a card from your hand and put a number of time counters on it equal to its mana value. It gains ""When the last time counter is removed from this card, if it's exiled, you may cast it without paying its mana cost. If you cast a creature spell this way, it gains haste until end of turn."" Then remove a time counter from each other card you own in exile.",Creature,,
"Vampire, Elf, Rogue",4,Legendary Creature — Vampire Elf Rogue,"Astarion, the Decadent",rare,Legal,{4}{W}{B},4,"Deathtouch, lifelink\nAt the beginning of your end step, choose one —\n• Feed — Target opponent loses life equal to the amount of life they lost this turn.\n• Friends — You gain life equal to the amount of life you gained this turn.",Creature,,
